Date,Price,Open,High,Low,Volume,Chg%
"Oct 04, 2016","29,991","30,645","30,714","29,885",0.34K,-1.92%
"Oct 03, 2016","30,579","30,732","30,828","30,552",1.04K,-0.53%
"Sep 30, 2016","30,742","31,100","31,240","30,670",10.25K,-1.36%
"Sep 29, 2016","31,165","30,990","31,194","30,975",12.25K,0.68%
"Sep 28, 2016","30,955","30,980","31,039","30,866",10.46K,-0.07%
"Sep 27, 2016","30,978","31,271","31,271","30,962",14.03K,-1.12%
"Sep 26, 2016","31,328","31,236","31,350","31,211",8.32K,0.15%
"Sep 23, 2016","31,281","31,242","31,350","31,205",9.68K,-0.16%
"Sep 22, 2016","31,332","31,250","31,380","31,157",14.21K,0.41%
"Sep 21, 2016","31,205","30,975","31,238","30,841",13.20K,0.91%
"Sep 20, 2016","30,924","30,950","31,050","30,876",10.48K,0.07%
"Sep 19, 2016","30,903","30,932","30,980","30,880",9.72K,0.29%
"Sep 16, 2016","30,813","30,875","30,934","30,800",9.84K,-0.31%
"Sep 15, 2016","30,910","31,058","31,178","30,792",13.91K,-0.41%
"Sep 14, 2016","31,038","31,030","31,116","31,003",10.05K,-0.14%
"Sep 13, 2016","31,081","31,041","31,179","31,017",7.68K,0.20%
"Sep 12, 2016","31,019","31,150","31,206","30,951",12.82K,-0.63%
"Sep 09, 2016","31,217","31,245","31,296","31,130",9.97K,0.04%
"Sep 08, 2016","31,203","31,350","31,380","31,153",10.84K,-0.33%
"Sep 07, 2016","31,305","31,440","31,466","31,250",11.17K,-0.23%
"Sep 06, 2016","31,378","30,995","31,410","30,927",13.33K,1.27%
"Sep 05, 2016","30,985","30,930","31,019","30,922",1.96K,0.21%
"Sep 02, 2016","30,920","30,919","31,065","30,560",18.98K,0.48%
"Sep 01, 2016","30,772","30,750","30,869","30,610",13.28K,0.16%
"Aug 31, 2016","30,724","30,840","30,884","30,670",12.82K,-0.31%
"Aug 30, 2016","30,821","31,045","31,049","30,805",15.47K,-0.82%
"Aug 29, 2016","31,075","30,940","31,093","30,879",9.58K,0.27%
"Aug 26, 2016","30,990","30,910","31,320","30,891",17.86K,0.20%
"Aug 25, 2016","30,928","31,029","31,054","30,851",11.48K,-0.38%
"Aug 24, 2016","31,046","31,290","31,357","31,027",15.87K,-1.03%
"Aug 23, 2016","31,370","31,300","31,415","31,263",13.29K,-0.03%
"Aug 22, 2016","31,379","31,325","31,395","31,204",12.48K,-0.08%
"Aug 19, 2016","31,404","31,411","31,492","31,300",15.36K,-0.24%
"Aug 18, 2016","31,478","31,399","31,518","31,355",11.44K,0.35%
"Aug 17, 2016","31,368","31,360","31,415","31,300",10.60K,-0.31%
"Aug 16, 2016","31,467","31,250","31,568","31,250",16.88K,0.79%
"Aug 12, 2016","31,219","31,250","31,577","31,131",19.28K,-0.34%
"Aug 11, 2016","31,327","31,350","31,492","31,262",14.37K,-0.21%
"Aug 10, 2016","31,393","31,324","31,565","31,280",14.35K,0.38%
"Aug 09, 2016","31,273","31,174","31,297","31,062",15.15K,0.31%
"Aug 08, 2016","31,176","31,202","31,215","31,020",11.02K,0.41%
"Aug 05, 2016","31,050","31,600","31,670","30,674",0.19K,-1.80%
"Aug 04, 2016","31,620","31,506","31,675","31,472",0.11K,0.04%
"Aug 03, 2016","31,608","31,809","31,939","31,592",0.16K,-0.53%
"Aug 02, 2016","31,775","31,496","31,839","31,448",0.36K,0.76%
"Aug 01, 2016","31,534","31,358","31,550","31,358",1.70K,-0.05%
"Jul 29, 2016","31,549","31,150","31,598","31,025",16.74K,1.67%
"Jul 28, 2016","31,031","31,149","31,285","30,955",16.24K,0.15%
"Jul 27, 2016","30,986","30,823","31,019","30,786",13.84K,0.24%
"Jul 26, 2016","30,912","30,873","30,950","30,784",15.45K,0.02%
"Jul 25, 2016","30,907","30,782","30,930","30,682",13.39K,0.12%
"Jul 22, 2016","30,871","30,952","30,980","30,780",12.72K,-0.43%
"Jul 21, 2016","31,005","30,680","31,045","30,669",18.27K,0.87%
"Jul 20, 2016","30,737","31,065","31,093","30,705",17.84K,-1.15%
"Jul 19, 2016","31,094","31,050","31,114","30,941",13.90K,0.25%
"Jul 18, 2016","31,015","30,901","31,140","30,881",15.80K,0.12%
"Jul 15, 2016","30,977","30,900","31,100","30,836",19.53K,0.09%
"Jul 14, 2016","30,950","31,150","31,183","30,726",23.09K,-1.04%
"Jul 13, 2016","31,274","31,100","31,320","31,100",13.54K,0.76%
"Jul 12, 2016","31,039","31,608","31,608","30,992",18.51K,-1.71%
"Jul 11, 2016","31,578","31,750","31,888","31,541",11.85K,-0.44%
"Jul 08, 2016","31,719","31,875","31,895","31,331",22.62K,-0.51%
"Jul 07, 2016","31,881","32,140","32,175","31,724",19.86K,-0.73%
"Jul 06, 2016","32,116","32,388","32,455","32,068",11.61K,0.51%
"Jul 05, 2016","31,953","31,704","31,974","31,610",20.95K,0.53%
"Jul 04, 2016","31,783","31,600","31,850","31,600",16.41K,1.02%
"Jul 01, 2016","31,463","31,250","31,585","31,250",17.55K,0.85%
"Jun 30, 2016","31,199","31,220","31,290","31,131",17.85K,-0.37%
"Jun 29, 2016","31,315","31,350","31,459","31,253",19.31K,0.00%
